date,product_type,searches_with_click,searches
2021-03-20,ResponsiveWeb,61580,245610
2021-03-16,ResponsiveWeb,81100,313855
2021-03-04,ResponsiveWeb,79186,301383
2021-03-28,ResponsiveWeb,60446,240492
2021-04-19,AndroidApp,22212,47712
2021-04-13,AndroidApp,59696,111873
2021-04-07,ResponsiveWeb,76716,291099
2021-03-11,ResponsiveWeb,77845,298587
2021-04-04,ResponsiveWeb,58978,234829
2021-03-09,ResponsiveWeb,81133,310234
2021-03-01,AndroidApp,35610,65769
2021-04-10,ResponsiveWeb,58664,203968
2021-04-12,ResponsiveWeb,76271,267854
2021-03-12,ResponsiveWeb,72141,281496
2021-04-09,ResponsiveWeb,69304,257850
2021-04-18,AndroidApp,59600,127458
2021-03-06,ResponsiveWeb,63007,248880
2021-03-17,ResponsiveWeb,81537,314970
2021-03-18,ResponsiveWeb,78134,298519
2021-04-06,AndroidApp,57790,105413
2021-03-16,AndroidApp,61025,112277
2021-04-15,AndroidApp,58434,111749
2021-03-29,ResponsiveWeb,75722,294998
2021-03-25,ResponsiveWeb,75381,291964
2021-03-12,AndroidApp,56945,105396
2021-03-19,AndroidApp,53880,99126
2021-03-24,AndroidApp,58231,106666
2021-04-01,ResponsiveWeb,64234,253748
2021-04-03,AndroidApp,53331,97761
2021-04-19,ResponsiveWeb,22668,85284
2021-03-06,AndroidApp,54891,100493
2021-04-16,ResponsiveWeb,70404,278384
2021-04-14,ResponsiveWeb,76878,298818
2021-04-14,AndroidApp,57857,108286
2021-04-09,AndroidApp,54958,104521
2021-03-15,AndroidApp,60679,112645
2021-03-05,AndroidApp,57267,105247
2021-04-02,ResponsiveWeb,62245,246715
2021-03-05,ResponsiveWeb,74334,287107
2021-04-08,AndroidApp,57789,109705
2021-03-23,AndroidApp,57028,104332
2021-03-14,AndroidApp,54491,101568
2021-03-14,ResponsiveWeb,60753,242796
2021-03-08,ResponsiveWeb,78618,302704
2021-03-17,AndroidApp,58137,106599
2021-04-02,AndroidApp,54789,100260
2021-03-22,ResponsiveWeb,79638,311285
2021-03-13,AndroidApp,55272,102151
2021-03-26,ResponsiveWeb,71406,278099
2021-03-08,AndroidApp,59653,108763
2021-03-10,ResponsiveWeb,79155,305561
2021-03-13,ResponsiveWeb,63355,250221
2021-03-02,ResponsiveWeb,84097,320875
2021-03-03,ResponsiveWeb,82121,315731
2021-04-04,AndroidApp,52953,96747
2021-03-23,ResponsiveWeb,79879,311388
2021-03-03,AndroidApp,60883,110467
2021-04-17,AndroidApp,55776,115040
2021-04-15,ResponsiveWeb,74721,290502
2021-03-25,AndroidApp,56718,103604
2021-04-12,AndroidApp,58509,110572
2021-03-02,AndroidApp,60866,110757
2021-04-16,AndroidApp,55989,108895
2021-03-04,AndroidApp,59959,109040
2021-04-10,AndroidApp,53357,101374
2021-03-20,AndroidApp,51875,95086
2021-04-13,ResponsiveWeb,78723,290795
2021-03-22,AndroidApp,58791,106547
2021-04-06,ResponsiveWeb,78557,299827
2021-04-01,AndroidApp,53926,98831
2021-03-15,ResponsiveWeb,70816,279301
2021-03-24,ResponsiveWeb,79230,308828
2021-03-11,AndroidApp,59300,108961
2021-03-27,AndroidApp,52233,96182
2021-03-30,AndroidApp,57465,105425
2021-03-31,AndroidApp,54008,98820
2021-04-05,ResponsiveWeb,75535,289967
2021-03-19,ResponsiveWeb,72859,280036
2021-04-07,AndroidApp,59768,113697
2021-03-26,AndroidApp,54398,100743
2021-03-01,ResponsiveWeb,53056,206944
2021-03-29,AndroidApp,57587,105176
2021-03-31,ResponsiveWeb,70081,273900
2021-04-11,AndroidApp,55481,104571
2021-03-27,ResponsiveWeb,60928,242261
2021-04-17,ResponsiveWeb,59378,238972
2021-03-07,AndroidApp,59305,108108
2021-03-21,AndroidApp,53981,98598
2021-03-10,AndroidApp,59873,108963
2021-04-11,ResponsiveWeb,58915,208091
2021-03-30,ResponsiveWeb,75911,295237
2021-03-18,AndroidApp,57201,104517
2021-04-03,ResponsiveWeb,59491,239183
2021-04-18,ResponsiveWeb,60208,243840
2021-03-28,AndroidApp,54117,99001
2021-03-07,ResponsiveWeb,65075,255092
2021-03-09,AndroidApp,59679,108558
2021-04-05,AndroidApp,56731,102828
2021-04-08,ResponsiveWeb,75334,289175
2021-03-21,ResponsiveWeb,62888,249490
